timestamp,model_name,optimizer,learning_rate,best_epoch,epochs_completed,best_dev_accuracy,best_dev_loss,total_training_time_sec
2026-01-07 21:03:53,MLP_64_Dropout_Gridsearch_Relu,Adam,0.001,18,20,0.2353,2.7219938271081268,922.85
2026-01-07 21:19:20,MLP_64_Dropout_Gridsearch_Relu,Adam,0.005,15,20,0.20893333333333333,2.7589571094716283,926.85
2026-01-07 21:22:32,LSTMHiddenState_Dropout_Relu_Gridsearch_256,Adam,0.01,19,20,0.3222,2.2316149740076776,1244.44
2026-01-07 21:33:18,MLP_64_Dropout_Gridsearch_Relu,Adam,0.01,12,18,0.17986666666666667,2.9480866780921593,837.93
2026-01-07 21:37:23,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256,Adam,0.001,6,12,0.3389666666666667,2.4361864714734334,873.1
2026-01-07 21:48:52,MLP_64_Dropout_Gridsearch_Relu,Adam,0.001,19,20,0.2236,2.796939167640865,933.43
2026-01-07 22:01:57,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256,Adam,0.005,20,20,0.32676666666666665,3.025255868684,1451.95
2026-01-07 22:04:25,MLP_64_Dropout_Gridsearch_Relu,Adam,0.005,20,20,0.20166666666666666,2.8555751365385076,933.08
2026-01-07 22:18:50,MLP_64_Dropout_Gridsearch_Relu,Adam,0.01,12,18,0.16346666666666668,3.023003572594128,865.02
2026-01-07 22:27:56,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256,Adam,0.01,19,20,0.28673333333333334,2.5712080596606612,1537.83
2026-01-07 22:30:16,MLP_64_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.2279,2.75414580284281,545.63
2026-01-07 22:39:03,MLP_64_Dropout_Gridsearch_Relu,Adam,0.005,17,20,0.22473333333333334,2.71352671257993,526.29
2026-01-07 22:41:29,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256,Adam,0.001,5,11,0.3389333333333333,2.2684686684659296,791.46
2026-01-07 22:47:52,MLP_64_Dropout_Gridsearch_Relu,Adam,0.01,19,20,0.1952,2.8691264801837026,529.54
2026-01-07 22:56:41,MLP_64_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.21026666666666666,2.842047329151884,528.84
2026-01-07 22:59:41,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256,Adam,0.005,9,15,0.33366666666666667,2.493651814298081,1070.92
2026-01-07 23:05:04,MLP_64_Dropout_Gridsearch_Relu,Adam,0.005,13,19,0.2126,2.8044754393557283,502.7
2026-01-07 23:13:50,MLP_64_Dropout_Gridsearch_Relu,Adam,0.01,19,20,0.18003333333333332,2.9017287619570467,526.19
2026-01-07 23:22:40,MLP_64_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.2074,2.9024625818780128,529.97
2026-01-07 23:23:52,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256,Adam,0.01,19,20,0.28176666666666667,2.574635749432578,1429.18
2026-01-07 23:31:03,MLP_64_Dropout_Gridsearch_Relu,Adam,0.005,13,19,0.19156666666666666,2.91162764671001,503.12
2026-01-07 23:37:14,MLP_64_Dropout_Gridsearch_Relu,Adam,0.01,8,14,0.16133333333333333,3.050336422818772,370.61
2026-01-07 23:40:28,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.001,6,12,0.28713333333333335,2.672389323523304,974.52
2026-01-07 23:45:59,MLP_256_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.35223333333333334,1.975418856803407,525.66
2026-01-07 23:54:47,MLP_256_Dropout_Gridsearch_Relu,Adam,0.005,20,20,0.33466666666666667,2.066004057640725,527.63
2026-01-08 00:01:49,MLP_256_Dropout_Gridsearch_Relu,Adam,0.01,10,16,0.28846666666666665,2.311307377003609,422.29
2026-01-08 00:07:56,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.005,18,20,0.2700666666666667,2.8432676830271415,1624.28
2026-01-08 00:10:41,MLP_256_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.33476666666666666,2.0687631916492544,531.93
2026-01-08 00:19:28,MLP_256_Dropout_Gridsearch_Relu,Adam,0.005,20,20,0.3146,2.146625305236654,527.01
2026-01-08 00:28:16,MLP_256_Dropout_Gridsearch_Relu,Adam,0.01,18,20,0.26903333333333335,2.413108399573793,527.86
2026-01-08 00:35:22,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.01,17,20,0.1302,3.234909297052477,1622.41
2026-01-08 00:37:04,MLP_256_Dropout_Gridsearch_Relu,Adam,0.001,19,20,0.3183666666666667,2.1756897134983793,527.87
2026-01-08 00:45:54,MLP_256_Dropout_Gridsearch_Relu,Adam,0.005,19,20,0.29586666666666667,2.2410671386312933,530.34
2026-01-08 00:54:43,MLP_256_Dropout_Gridsearch_Relu,Adam,0.01,20,20,0.2343,2.5817421953728856,528.71
2026-01-08 00:58:44,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.001,11,17,0.2845,3.842715680217946,1377.31
2026-01-08 01:06:41,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.30673333333333336,2.275453233718872,718.36
2026-01-08 01:18:38,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.005,20,20,0.2393,2.6666078445759225,717.06
2026-01-08 01:24:04,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.01,3,9,0.14326666666666665,3.2017746600698915,325.38
2026-01-08 01:26:16,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.005,20,20,0.2783333333333333,2.9630487798881937,1628.2
2026-01-08 01:36:01,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.2756,2.4665497313154505,717.23
2026-01-08 01:48:01,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.005,20,20,0.20663333333333334,2.8577228231632965,720.24
2026-01-08 01:52:50,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.01,2,8,0.12783333333333333,3.320916280340641,288.82
2026-01-08 01:53:47,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.01,20,20,0.15153333333333333,3.113875858819307,1627.74
2026-01-08 02:04:41,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.001,19,20,0.24616666666666667,2.6411481725408676,710.9
2026-01-08 02:13:52,LSTMHiddenState_Dropout_Tanh_Gridsearch_64,Adam,0.001,20,20,0.3218,2.297630437147389,1180.33
2026-01-08 02:16:31,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.005,15,20,0.1745,3.0513490778334598,710.22
2026-01-08 02:22:27,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.01,4,10,0.1088,3.43331753345246,355.83
2026-01-08 02:33:45,LSTMHiddenState_Dropout_Tanh_Gridsearch_64,Adam,0.005,19,20,0.3381,2.2564321253091286,1176.8
2026-01-08 02:34:16,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.3584333333333333,1.9854119179096628,709.16
2026-01-08 02:46:05,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.005,19,20,0.24956666666666666,2.678137241525853,709.35
2026-01-08 02:52:04,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.01,4,10,0.13936666666666667,3.2422082180672502,358.56
2026-01-08 02:53:37,LSTMHiddenState_Dropout_Tanh_Gridsearch_64,Adam,0.01,15,20,0.32053333333333334,2.2973253988762146,1174.62
2026-01-08 03:03:56,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.3329,2.1237599251118113,711.97
2026-01-08 03:13:33,LSTMHiddenState_Dropout_Tanh_Gridsearch_64,Adam,0.001,20,20,0.31526666666666664,2.353758672915542,1178.51
2026-01-08 03:15:46,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.005,18,20,0.21023333333333333,2.8573332137249885,710.14
2026-01-08 03:24:39,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.01,9,15,0.12086666666666666,3.3777148175746836,532.36
2026-01-08 03:33:28,LSTMHiddenState_Dropout_Tanh_Gridsearch_64,Adam,0.005,20,20,0.33103333333333335,2.282477821622576,1178.47
2026-01-08 03:36:32,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.3008,2.3225618555190715,713.64
2026-01-08 03:46:01,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.005,10,16,0.17583333333333334,3.053017190162172,568.57
2026-01-08 03:50:46,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.01,2,8,0.10306666666666667,3.5039756896648,285.62
2026-01-08 03:53:20,LSTMHiddenState_Dropout_Tanh_Gridsearch_64,Adam,0.01,18,20,0.3073666666666667,2.412106450178476,1174.35
2026-01-08 04:05:46,MLP_512_256_128_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.3175,2.326394481861845,899.94
2026-01-08 04:07:47,LSTMHiddenState_Dropout_Tanh_Gridsearch_256,Adam,0.001,8,14,0.3611666666666667,2.123830116379744,849.01
2026-01-08 04:20:50,MLP_512_256_128_Dropout_Gridsearch_Relu,Adam,0.005,20,20,0.20846666666666666,2.9364001314690773,903.96
2026-01-08 04:23:12,LSTMHiddenState_Dropout_Tanh_Gridsearch_256,Adam,0.005,9,15,0.3727666666666667,2.1367071717024357,907.79
2026-01-08 04:31:18,MLP_512_256_128_Dropout_Gridsearch_Relu,Adam,0.01,8,14,0.1204,3.345568294728056,627.72
2026-01-08 04:43:40,LSTMHiddenState_Dropout_Tanh_Gridsearch_256,Adam,0.01,19,20,0.35746666666666665,2.2034495131039162,1208.68
2026-01-08 04:46:18,MLP_512_256_128_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.2927,2.4530142702954882,899.9
2026-01-08 04:55:19,MLP_512_256_128_Dropout_Gridsearch_Relu,Adam,0.005,6,12,0.15396666666666667,3.1400891385179883,541.12
2026-01-08 04:57:02,LSTMHiddenState_Dropout_Tanh_Gridsearch_256,Adam,0.001,7,13,0.36156666666666665,2.0829163624533713,784.56
2026-01-08 05:00:37,MLP_512_256_128_Dropout_Gridsearch_Relu,Adam,0.01,1,7,0.09623333333333334,3.4927846908569338,318.3
2026-01-08 05:14:27,LSTMHiddenState_Dropout_Tanh_Gridsearch_256,Adam,0.005,11,17,0.373,2.141280010565003,1026.71
2026-01-08 05:15:39,MLP_512_256_128_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.2631,2.6177350957342918,901.28
2026-01-08 05:26:55,MLP_512_256_128_Dropout_Gridsearch_Relu,Adam,0.005,9,15,0.13143333333333335,3.253649062298714,676.34
2026-01-08 05:32:59,MLP_512_256_128_Dropout_Gridsearch_Relu,Adam,0.01,2,8,0.0848,3.6206283112789723,363.86
2026-01-08 05:34:53,LSTMHiddenState_Dropout_Tanh_Gridsearch_256,Adam,0.01,18,20,0.34236666666666665,2.2417404473717535,1208.6
2026-01-08 05:47:06,LSTMHiddenState_Dropout_Tanh_Gridsearch_512_256,Adam,0.001,4,10,0.342,2.25350236282674,714.89
2026-01-08 05:51:02,MLP_512_256_128_64_Dropout_Gridsearch_Relu,Adam,0.001,19,20,0.2763,2.58270393736819,1082.85
2026-01-08 06:05:22,LSTMHiddenState_Dropout_Tanh_Gridsearch_512_256,Adam,0.005,9,15,0.33093333333333336,2.584155231396527,1075.42
2026-01-08 06:08:10,MLP_512_256_128_64_Dropout_Gridsearch_Relu,Adam,0.005,13,19,0.14663333333333334,3.176493214546366,1027.82
2026-01-08 06:19:02,MLP_512_256_128_64_Dropout_Gridsearch_Relu,Adam,0.01,6,12,0.09343333333333333,3.5428437973590605,652.8
2026-01-08 06:29:30,LSTMHiddenState_Dropout_Tanh_Gridsearch_512_256,Adam,0.01,20,20,0.2605,2.6698852236082815,1428.1
2026-01-08 06:37:09,MLP_512_256_128_64_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.2451,2.7490943928982348,1086.31
2026-01-08 06:41:48,LSTMHiddenState_Dropout_Tanh_Gridsearch_512_256,Adam,0.001,4,10,0.3475,2.2339182403296043,716.91
2026-01-08 06:50:42,MLP_512_256_128_64_Dropout_Gridsearch_Relu,Adam,0.005,9,15,0.1265,3.310327593823697,813.18
2026-01-08 06:58:52,LSTMHiddenState_Dropout_Tanh_Gridsearch_512_256,Adam,0.005,8,14,0.33663333333333334,2.4820798198297336,1002.67
2026-01-08 07:02:28,MLP_512_256_128_64_Dropout_Gridsearch_Relu,Adam,0.01,7,13,0.07896666666666667,3.6041245480801196,705.83
2026-01-08 07:20:31,MLP_512_256_128_64_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.19126666666666667,2.9472890813299952,1083.76
2026-01-08 07:23:02,LSTMHiddenState_Dropout_Tanh_Gridsearch_512_256,Adam,0.01,19,20,0.24796666666666667,2.695726470398242,1428.94
2026-01-08 07:30:29,MLP_512_256_128_64_Dropout_Gridsearch_Relu,Adam,0.005,5,11,0.10116666666666667,3.462309937781476,597.23
2026-01-08 07:38:22,LSTMHiddenState_Dropout_Tanh_Gridsearch_512_256_128,Adam,0.001,5,11,0.2896666666666667,2.6439800603049144,899.81
2026-01-08 07:48:31,MLP_512_256_128_64_Dropout_Gridsearch_Relu,Adam,0.01,15,20,0.062033333333333336,3.7516486238926015,1081.92
2026-01-08 07:57:13,MLP_64_Dropout_Gridsearch_Tanh,Adam,0.001,20,20,0.20746666666666666,2.949580731290452,522.82
2026-01-08 08:05:49,LSTMHiddenState_Dropout_Tanh_Gridsearch_512_256_128,Adam,0.005,20,20,0.2764,2.8407330868849114,1623.18
2026-01-08 08:06:02,MLP_64_Dropout_Gridsearch_Tanh,Adam,0.005,19,20,0.22416666666666665,2.801802033566414,528.29
2026-01-08 08:14:44,MLP_64_Dropout_Gridsearch_Tanh,Adam,0.01,17,20,0.21753333333333333,2.8207199857590046,521.86
2026-01-08 08:23:26,MLP_64_Dropout_Gridsearch_Tanh,Adam,0.001,20,20,0.18716666666666668,3.0630796574531716,522.82
2026-01-08 08:32:07,MLP_64_Dropout_Gridsearch_Tanh,Adam,0.005,19,20,0.2127,2.9066089640272423,520.09
2026-01-08 08:33:05,LSTMHiddenState_Dropout_Tanh_Gridsearch_512_256_128,Adam,0.01,16,20,0.10646666666666667,3.3757716155509705,1611.81
2026-01-08 08:40:23,MLP_64_Dropout_Gridsearch_Tanh,Adam,0.01,13,19,0.20583333333333334,2.945705531505828,496.69
2026-01-08 08:48:17,LSTMHiddenState_Dropout_Tanh_Gridsearch_512_256_128,Adam,0.001,5,11,0.293,2.612343634115353,888.6
2026-01-08 08:49:03,MLP_64_Dropout_Gridsearch_Tanh,Adam,0.001,20,20,0.17066666666666666,3.1523543266539877,519.7
2026-01-08 08:57:43,MLP_64_Dropout_Gridsearch_Tanh,Adam,0.005,18,20,0.20133333333333334,2.9711183203027605,520.48
2026-01-08 09:06:26,MLP_64_Dropout_Gridsearch_Tanh,Adam,0.01,14,20,0.1884,3.049506146857079,522.52
2026-01-08 09:15:09,MLP_256_Dropout_Gridsearch_Tanh,Adam,0.001,20,20,0.31706666666666666,2.259073694208835,523.34
2026-01-08 09:15:32,LSTMHiddenState_Dropout_Tanh_Gridsearch_512_256_128,Adam,0.005,20,20,0.2698,2.816689856270991,1611.42
2026-01-08 09:23:51,MLP_256_Dropout_Gridsearch_Tanh,Adam,0.005,19,20,0.31143333333333334,2.2808773441517607,521.93
2026-01-08 09:32:34,MLP_256_Dropout_Gridsearch_Tanh,Adam,0.01,19,20,0.2746,2.5467683437022757,523.2
2026-01-08 09:41:19,MLP_256_Dropout_Gridsearch_Tanh,Adam,0.001,20,20,0.2895666666666667,2.4534354382372916,525.02
2026-01-08 09:42:50,LSTMHiddenState_Dropout_Tanh_Gridsearch_512_256_128,Adam,0.01,15,20,0.10453333333333334,3.3819588318562457,1614.28
2026-01-08 09:49:47,MLP_256_Dropout_Gridsearch_Tanh,Adam,0.005,17,20,0.28696666666666665,2.455100950281671,507.32
2026-01-08 09:54:11,LSTMHiddenState_Dropout_Relu_Gridsearch_64,Adam,0.001,20,20,0.2907,2.4304987542172696,621.23
2026-01-08 09:58:19,MLP_256_Dropout_Gridsearch_Tanh,Adam,0.01,20,20,0.25503333333333333,2.640520891230157,512.43
2026-01-08 10:04:42,LSTMHiddenState_Dropout_Relu_Gridsearch_64,Adam,0.005,20,20,0.308,2.3199890973720145,620.73
2026-01-08 10:06:51,MLP_256_Dropout_Gridsearch_Tanh,Adam,0.001,20,20,0.25853333333333334,2.6556448530643544,512.18
2026-01-08 10:15:11,LSTMHiddenState_Dropout_Relu_Gridsearch_64,Adam,0.01,19,20,0.2977666666666667,2.3777652583223707,619.83
2026-01-08 10:15:27,MLP_256_Dropout_Gridsearch_Tanh,Adam,0.005,18,20,0.25926666666666665,2.6357301458399345,515.43
2026-01-08 10:24:04,MLP_256_Dropout_Gridsearch_Tanh,Adam,0.01,20,20,0.22873333333333334,2.7946944338210087,516.66
2026-01-08 10:25:45,LSTMHiddenState_Dropout_Relu_Gridsearch_64,Adam,0.001,20,20,0.2775,2.472857469193479,624.96
2026-01-08 10:35:42,MLP_256_128_Dropout_Gridsearch_Tanh,Adam,0.001,20,20,0.2699,2.5295640823688914,698.05
2026-01-08 10:36:19,LSTMHiddenState_Dropout_Relu_Gridsearch_64,Adam,0.005,20,20,0.29233333333333333,2.4346578699477175,624.93
2026-01-08 10:46:53,LSTMHiddenState_Dropout_Relu_Gridsearch_64,Adam,0.01,19,20,0.2808333333333333,2.4495224688915496,624.4
2026-01-08 10:47:18,MLP_256_128_Dropout_Gridsearch_Tanh,Adam,0.005,20,20,0.2333,2.7162771701812742,696.05
2026-01-08 10:54:19,MLP_256_128_Dropout_Gridsearch_Tanh,Adam,0.01,6,12,0.1578,3.215599160498761,421.09
2026-01-08 10:56:03,LSTMHiddenState_Dropout_Relu_Gridsearch_256,Adam,0.001,11,17,0.3589333333333333,2.043753714257098,541.36
2026-01-08 11:05:16,LSTMHiddenState_Dropout_Relu_Gridsearch_256,Adam,0.005,11,17,0.3672666666666667,2.117198256736106,542.9
2026-01-08 11:05:56,MLP_256_128_Dropout_Gridsearch_Tanh,Adam,0.001,19,20,0.24106666666666668,2.7065923447304585,697.07
2026-01-08 11:16:04,LSTMHiddenState_Dropout_Relu_Gridsearch_256,Adam,0.01,15,20,0.3562666666666667,2.1390345345152184,638.39
2026-01-08 11:17:37,MLP_256_128_Dropout_Gridsearch_Tanh,Adam,0.005,19,20,0.2039,2.901280018623839,701.14
2026-01-08 11:25:48,LSTMHiddenState_Dropout_Relu_Gridsearch_256,Adam,0.001,12,18,0.3650333333333333,2.0145329652948583,574.88
2026-01-08 11:29:20,MLP_256_128_Dropout_Gridsearch_Tanh,Adam,0.01,20,20,0.15146666666666667,3.1911623224299004,702.6
2026-01-08 11:33:59,LSTMHiddenState_Dropout_Relu_Gridsearch_256,Adam,0.005,9,15,0.3601666666666667,2.0951871227710805,481.39
2026-01-08 11:41:02,MLP_256_128_Dropout_Gridsearch_Tanh,Adam,0.001,20,20,0.21716666666666667,2.8520833867661497,702.01
2026-01-08 11:44:46,LSTMHiddenState_Dropout_Relu_Gridsearch_256,Adam,0.01,15,20,0.351,2.104714982053067,638.15
2026-01-08 11:52:44,MLP_256_128_Dropout_Gridsearch_Tanh,Adam,0.005,19,20,0.18373333333333333,3.0327143912619734,702.85
2026-01-08 11:53:01,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256,Adam,0.001,7,13,0.3261,2.500858746690953,484.57
2026-01-08 12:01:55,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256,Adam,0.005,8,14,0.34226666666666666,2.534885120391846,523.37
2026-01-08 12:04:29,MLP_256_128_Dropout_Gridsearch_Tanh,Adam,0.01,19,20,0.13156666666666667,3.320935511081777,704.58
2026-01-08 12:14:32,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256,Adam,0.01,20,20,0.3123,2.6294178917052897,745.0
2026-01-08 12:16:11,MLP_512_256_Dropout_Gridsearch_Tanh,Adam,0.001,20,20,0.32313333333333333,2.2010195306006897,702.4
2026-01-08 12:22:12,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256,Adam,0.001,6,12,0.33436666666666665,2.318423488799562,449.21
2026-01-08 12:27:55,MLP_512_256_Dropout_Gridsearch_Tanh,Adam,0.005,20,20,0.23226666666666668,2.6871384823575934,703.35
2026-01-08 12:29:50,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256,Adam,0.005,6,12,0.3408,2.3628038746245363,447.79
2026-01-08 12:39:34,MLP_512_256_Dropout_Gridsearch_Tanh,Adam,0.01,19,20,0.14853333333333332,3.3122981061326695,699.24
2026-01-08 12:42:27,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256,Adam,0.01,19,20,0.3149,2.610224038996595,745.31
2026-01-08 12:51:06,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.001,6,12,0.2827,2.6500308371604757,508.14
2026-01-08 12:51:17,MLP_512_256_Dropout_Gridsearch_Tanh,Adam,0.001,19,20,0.2931,2.3927334978225385,702.62
2026-01-08 13:03:02,MLP_512_256_Dropout_Gridsearch_Tanh,Adam,0.005,19,20,0.20296666666666666,2.864769284268643,705.57
2026-01-08 13:05:23,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.005,18,20,0.2804,3.4273253248092974,844.06
2026-01-08 13:14:45,MLP_512_256_Dropout_Gridsearch_Tanh,Adam,0.01,17,20,0.13726666666666668,3.419202798478147,702.49
2026-01-08 13:19:43,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.01,20,20,0.24213333333333334,2.7342103603038383,847.08
2026-01-08 13:26:28,MLP_512_256_Dropout_Gridsearch_Tanh,Adam,0.001,20,20,0.2613333333333333,2.5927173614501955,702.99
2026-01-08 13:28:23,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.001,6,12,0.2848,2.607317248811113,507.17
2026-01-08 13:38:10,MLP_512_256_Dropout_Gridsearch_Tanh,Adam,0.005,18,20,0.1721,3.0586009695174847,702.67
2026-01-08 13:42:40,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.005,20,20,0.2800666666666667,3.4787948669271267,843.06
2026-01-08 13:49:53,MLP_512_256_Dropout_Gridsearch_Tanh,Adam,0.01,16,20,0.12006666666666667,3.4741430728993516,702.89
2026-01-08 13:56:56,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.01,20,20,0.19936666666666666,2.8736251536836015,842.86
2026-01-08 14:04:29,MLP_512_256_128_Dropout_Gridsearch_Tanh,Adam,0.001,20,20,0.28036666666666665,2.4421713555112796,875.99
2026-01-08 14:07:24,LSTMHiddenState_Dropout_Tanh_Gridsearch_64,Adam,0.001,20,20,0.3081,2.367004197709104,615.99
2026-01-08 14:17:49,LSTMHiddenState_Dropout_Tanh_Gridsearch_64,Adam,0.005,18,20,0.3398,2.2209901368364373,615.17
2026-01-08 14:19:06,MLP_512_256_128_Dropout_Gridsearch_Tanh,Adam,0.005,15,20,0.1721,3.0894900017596307,877.04
2026-01-08 14:28:15,LSTMHiddenState_Dropout_Tanh_Gridsearch_64,Adam,0.01,20,20,0.33616666666666667,2.226634142246652,616.67
2026-01-08 14:33:41,MLP_512_256_128_Dropout_Gridsearch_Tanh,Adam,0.01,14,20,0.11873333333333333,3.442867410943863,874.92
2026-01-08 14:38:40,LSTMHiddenState_Dropout_Tanh_Gridsearch_64,Adam,0.001,20,20,0.3012,2.4169534749173103,615.51
